Width,Height,Length,Mass
50,60,70,10
,None,50,5
200,100,50,25
150,150,150,30
60,80,100,-15
85,95,105,20
100,abc,100,40
20,30,40,0
95,105,115,24
100,100,100
45,55,65,12
-50,60,70,10
110,120,130,22
80,90,100,20,0
60,70,80,18
Width,Height,Length,Mass
140,150,160,35
70,80,90,15
,None,None,None
80,90,100,15
None,None,None,None
50,60,70,10
"100","100","100","40"
200,100,50,25
100,,100,40
30,40,50,5
150,150,150,30
55,65,75,14
60,80,100,15
90,100,110,26
100,100,100,40
85,80,75,14
20,30,40,8
70,65,60,12
90,95,100,20
55,50,45,10
65,75,85,16
,None,40,50,5
95,105,115,24
None,None,None,None
32,32,23ab,43
